NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;1:45.167;0;;33.674;0;39.156;0;32.337;0;185.3;1:45.167;16:01:43.913;0:33.674;0:39.156;0:32.337;217.6;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;2;1:43.134;0;;33.512;0;37.868;0;31.754;0;188.9;3:28.301;16:03:27.047;0:33.512;0:37.868;0:31.754;256.8;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;3;1:42.987;0;;33.251;0;37.944;0;31.792;0;189.2;5:11.288;16:05:10.034;0:33.251;0:37.944;0:31.792;259.2;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;4;1:42.875;0;;33.292;0;37.840;0;31.743;0;189.4;6:54.163;16:06:52.909;0:33.292;0:37.840;0:31.743;260.5;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;5;1:43.398;0;;33.273;0;38.053;0;32.072;0;188.4;8:37.561;16:08:36.307;0:33.273;0:38.053;0:32.072;253.2;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;6;1:43.648;0;;33.211;2;38.123;0;32.314;0;188.0;10:21.209;16:10:19.955;0:33.211;0:38.123;0:32.314;253.2;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;7;1:44.913;0;;33.692;0;38.503;0;32.718;0;185.7;12:06.122;16:12:04.868;0:33.692;0:38.503;0:32.718;254.4;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;8;1:44.550;0;;33.855;0;38.590;0;32.105;0;186.4;13:50.672;16:13:49.418;0:33.855;0:38.590;0:32.105;252.6;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;9;1:44.091;0;;33.634;0;38.298;0;32.159;0;187.2;15:34.763;16:15:33.509;0:33.634;0:38.298;0:32.159;249.7;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;10;1:43.894;0;;33.411;0;38.279;0;32.204;0;187.5;17:18.657;16:17:17.403;0:33.411;0:38.279;0:32.204;250.3;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;11;1:45.857;0;;34.037;0;38.465;0;33.355;0;184.1;19:04.514;16:19:03.260;0:34.037;0:38.465;0:33.355;252.6;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;12;1:45.016;0;;33.900;0;38.570;0;32.546;0;185.5;20:49.530;16:20:48.276;0:33.900;0:38.570;0:32.546;252.6;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;13;1:46.307;0;;34.353;0;39.165;0;32.789;0;183.3;22:35.837;16:22:34.583;0:34.353;0:39.165;0:32.789;255.0;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;14;1:45.218;0;;34.185;0;38.706;0;32.327;0;185.2;24:21.055;16:24:19.801;0:34.185;0:38.706;0:32.327;253.2;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;15;1:45.172;0;;33.738;0;38.910;0;32.524;0;185.3;26:06.227;16:26:04.973;0:33.738;0:38.910;0:32.524;253.8;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;16;1:44.471;0;;33.810;0;38.330;0;32.331;0;186.5;27:50.698;16:27:49.444;0:33.810;0:38.330;0:32.331;252.6;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;17;1:44.309;0;;33.649;0;38.431;0;32.229;0;186.8;29:35.007;16:29:33.753;0:33.649;0:38.431;0:32.229;252.6;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;18;1:44.120;0;;33.615;0;38.350;0;32.155;0;187.1;31:19.127;16:31:17.873;0:33.615;0:38.350;0:32.155;253.2;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;19;1:44.986;0;;33.678;0;38.927;0;32.381;0;185.6;33:04.113;16:33:02.859;0:33.678;0:38.927;0:32.381;255.0;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;20;1:45.665;0;;34.170;0;38.861;0;32.634;0;184.4;34:49.778;16:34:48.524;0:34.170;0:38.861;0:32.634;256.8;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;21;1:46.705;0;;33.977;0;38.694;0;34.034;0;182.6;36:36.483;16:36:35.229;0:33.977;0:38.694;0:34.034;235.6;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;22;1:45.395;0;;34.106;0;39.001;0;32.288;0;184.9;38:21.878;16:38:20.624;0:34.106;0:39.001;0:32.288;258.6;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;23;1:46.371;0;;33.841;0;39.807;0;32.723;0;183.2;40:08.249;16:40:06.995;0:33.841;0:39.807;0:32.723;258.0;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;24;1:44.938;0;;33.753;0;38.626;0;32.559;0;185.7;41:53.187;16:41:51.933;0:33.753;0:38.626;0:32.559;257.4;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;25;1:44.793;0;;33.649;0;38.361;0;32.783;0;185.9;43:37.980;16:43:36.726;0:33.649;0:38.361;0:32.783;257.4;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;26;1:46.270;0;;33.777;0;39.309;0;33.184;0;183.3;45:24.250;16:45:22.996;0:33.777;0:39.309;0:33.184;257.4;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;27;1:44.982;0;;33.734;0;38.561;0;32.687;0;185.6;47:09.232;16:47:07.978;0:33.734;0:38.561;0:32.687;256.8;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;28;1:44.229;0;;33.598;0;38.328;0;32.303;0;186.9;48:53.461;16:48:52.207;0:33.598;0:38.328;0:32.303;255.0;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;29;1:49.299;0;B;33.637;0;38.495;0;37.167;0;178.3;50:42.760;16:50:41.506;0:33.637;0:38.495;0:37.167;259.2;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;1;30;3:00.876;0;;1:50.612;0;38.229;0;32.035;0;107.7;53:43.636;16:53:42.382;1:50.612;0:38.229;0:32.035;181.2;Mark WEBBER;0:01:21.976;LMP1;H;Porsche Team;Porsche;
1;1;31;1:44.574;0;;33.401;0;38.700;0;32.473;0;186.3;55:28.210;16:55:26.956;0:33.401;0:38.700;0:32.473;241.9;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;32;1:44.795;0;;33.600;0;38.346;0;32.849;0;185.9;57:13.005;16:57:11.751;0:33.600;0:38.346;0:32.849;240.8;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;33;1:44.785;0;;33.745;0;38.544;0;32.496;0;185.9;58:57.790;16:58:56.536;0:33.745;0:38.544;0:32.496;239.7;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;34;1:43.623;0;;33.349;0;38.264;0;32.010;0;188.0;1:00:41.413;17:00:40.159;0:33.349;0:38.264;0:32.010;250.8;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;35;1:44.918;0;;33.677;0;39.114;0;32.127;0;185.7;1:02:26.331;17:02:25.077;0:33.677;0:39.114;0:32.127;254.4;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;36;1:44.046;0;;33.343;0;38.314;0;32.389;0;187.3;1:04:10.377;17:04:09.123;0:33.343;0:38.314;0:32.389;255.0;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;37;1:44.206;0;;33.615;0;38.192;0;32.399;0;187.0;1:05:54.583;17:05:53.329;0:33.615;0:38.192;0:32.399;255.6;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;38;1:47.077;0;;34.319;0;39.957;0;32.801;0;182.0;1:07:41.660;17:07:40.406;0:34.319;0:39.957;0:32.801;256.8;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;39;1:44.948;0;;33.904;0;38.607;0;32.437;0;185.6;1:09:26.608;17:09:25.354;0:33.904;0:38.607;0:32.437;256.8;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;40;1:44.357;0;;33.721;0;38.257;0;32.379;0;186.7;1:11:10.965;17:11:09.711;0:33.721;0:38.257;0:32.379;254.4;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;41;1:44.354;0;;33.683;0;38.260;0;32.411;0;186.7;1:12:55.319;17:12:54.065;0:33.683;0:38.260;0:32.411;255.0;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;42;1:44.303;0;;33.659;0;38.363;0;32.281;0;186.8;1:14:39.622;17:14:38.368;0:33.659;0:38.363;0:32.281;255.0;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;43;1:45.714;0;;33.720;0;38.242;0;33.752;0;184.3;1:16:25.336;17:16:24.082;0:33.720;0:38.242;0:33.752;256.2;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;44;1:45.758;0;;34.274;0;38.624;0;32.860;0;184.2;1:18:11.094;17:18:09.840;0:34.274;0:38.624;0:32.860;264.9;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;45;1:45.220;0;;33.825;0;38.765;0;32.630;0;185.2;1:19:56.314;17:19:55.060;0:33.825;0:38.765;0:32.630;256.2;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;46;1:44.659;0;;33.596;0;38.434;0;32.629;0;186.2;1:21:40.973;17:21:39.719;0:33.596;0:38.434;0:32.629;253.2;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;47;1:44.541;0;;33.735;0;38.349;0;32.457;0;186.4;1:23:25.514;17:23:24.260;0:33.735;0:38.349;0:32.457;250.3;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;48;1:44.483;0;;33.605;0;38.406;0;32.472;0;186.5;1:25:09.997;17:25:08.743;0:33.605;0:38.406;0:32.472;253.2;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;49;1:44.944;0;;33.806;0;38.696;0;32.442;0;185.7;1:26:54.941;17:26:53.687;0:33.806;0:38.696;0:32.442;255.6;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;50;1:45.405;0;;33.856;0;39.156;0;32.393;0;184.8;1:28:40.346;17:28:39.092;0:33.856;0:39.156;0:32.393;257.4;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;51;1:45.048;0;;33.770;0;39.073;0;32.205;0;185.5;1:30:25.394;17:30:24.140;0:33.770;0:39.073;0:32.205;261.1;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;52;1:44.535;0;;33.686;0;38.417;0;32.432;0;186.4;1:32:09.929;17:32:08.675;0:33.686;0:38.417;0:32.432;256.8;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;53;1:45.348;0;;33.779;0;39.118;0;32.451;0;184.9;1:33:55.277;17:33:54.023;0:33.779;0:39.118;0:32.451;261.1;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;54;1:44.869;0;;34.112;0;38.371;0;32.386;0;185.8;1:35:40.146;17:35:38.892;0:34.112;0:38.371;0:32.386;259.9;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;55;1:45.243;0;;33.850;0;38.777;0;32.616;0;185.1;1:37:25.389;17:37:24.135;0:33.850;0:38.777;0:32.616;255.6;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;56;1:45.162;0;;33.850;0;38.607;0;32.705;0;185.3;1:39:10.551;17:39:09.297;0:33.850;0:38.607;0:32.705;256.8;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;57;1:45.307;0;;34.267;0;38.403;0;32.637;0;185.0;1:40:55.858;17:40:54.604;0:34.267;0:38.403;0:32.637;258.6;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;58;1:45.783;0;;34.038;0;39.001;0;32.744;0;184.2;1:42:41.641;17:42:40.387;0:34.038;0:39.001;0:32.744;270.9;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;1;59;1:47.678;0;B;33.705;0;37.968;1;36.005;0;180.9;1:44:29.319;17:44:28.065;0:33.705;0:37.968;0:36.005;258.6;Mark WEBBER;;LMP1;H;Porsche Team;Porsche;
1;2;60;2:59.553;0;;1:49.393;0;37.817;1;32.343;0;108.5;1:47:28.872;17:47:27.618;1:49.393;0:37.817;0:32.343;183.0;Brendon HARTLEY;0:01:19.195;LMP1;H;Porsche Team;Porsche;
1;2;61;1:44.347;0;;34.096;0;38.327;0;31.924;0;186.7;1:49:13.219;17:49:11.965;0:34.096;0:38.327;0:31.924;258.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;62;1:44.471;0;;33.424;0;38.517;0;32.530;0;186.5;1:50:57.690;17:50:56.436;0:33.424;0:38.517;0:32.530;253.8;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;63;1:43.672;0;;33.550;0;38.320;0;31.802;1;187.9;1:52:41.362;17:52:40.108;0:33.550;0:38.320;0:31.802;250.3;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;64;1:44.896;0;;33.582;0;38.781;0;32.533;0;185.7;1:54:26.258;17:54:25.004;0:33.582;0:38.781;0:32.533;258.6;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;65;1:45.203;0;;33.525;0;39.232;0;32.446;0;185.2;1:56:11.461;17:56:10.207;0:33.525;0:39.232;0:32.446;253.8;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;66;1:44.231;0;;33.687;0;38.395;0;32.149;0;186.9;1:57:55.692;17:57:54.438;0:33.687;0:38.395;0:32.149;259.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;67;1:46.179;0;;34.137;0;39.290;0;32.752;0;183.5;1:59:41.871;17:59:40.617;0:34.137;0:39.290;0:32.752;259.9;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;68;1:44.548;0;;33.655;0;38.809;0;32.084;0;186.4;2:01:26.419;18:01:25.165;0:33.655;0:38.809;0:32.084;252.6;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;69;1:44.119;0;;33.855;0;38.416;0;31.848;0;187.1;2:03:10.538;18:03:09.284;0:33.855;0:38.416;0:31.848;257.4;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;70;1:43.668;0;;33.566;0;38.110;0;31.992;0;187.9;2:04:54.206;18:04:52.952;0:33.566;0:38.110;0:31.992;258.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;71;1:44.112;0;;33.531;0;38.213;0;32.368;0;187.1;2:06:38.318;18:06:37.064;0:33.531;0:38.213;0:32.368;256.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;72;1:45.117;0;;33.896;0;38.386;0;32.835;0;185.3;2:08:23.435;18:08:22.181;0:33.896;0:38.386;0:32.835;259.9;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;73;1:44.561;0;;33.707;0;38.810;0;32.044;0;186.3;2:10:07.996;18:10:06.742;0:33.707;0:38.810;0:32.044;250.8;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;74;1:44.118;0;;33.792;0;38.148;0;32.178;0;187.1;2:11:52.114;18:11:50.860;0:33.792;0:38.148;0:32.178;259.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;75;1:44.908;0;;34.217;0;38.409;0;32.282;0;185.7;2:13:37.022;18:13:35.768;0:34.217;0:38.409;0:32.282;258.6;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;76;1:44.869;0;;33.650;0;38.469;0;32.750;0;185.8;2:15:21.891;18:15:20.637;0:33.650;0:38.469;0:32.750;253.8;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;77;1:44.947;0;;33.780;0;38.693;0;32.474;0;185.6;2:17:06.838;18:17:05.584;0:33.780;0:38.693;0:32.474;256.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;78;1:44.526;0;;33.655;0;38.495;0;32.376;0;186.4;2:18:51.364;18:18:50.110;0:33.655;0:38.495;0:32.376;256.8;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;79;1:44.661;0;;33.578;0;38.548;0;32.535;0;186.2;2:20:36.025;18:20:34.771;0:33.578;0:38.548;0:32.535;259.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;80;1:45.408;0;;34.449;0;38.533;0;32.426;0;184.8;2:22:21.433;18:22:20.179;0:34.449;0:38.533;0:32.426;255.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;81;1:45.319;0;;33.572;0;39.139;0;32.608;0;185.0;2:24:06.752;18:24:05.498;0:33.572;0:39.139;0:32.608;256.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;82;1:44.386;0;;33.598;0;38.677;0;32.111;0;186.6;2:25:51.138;18:25:49.884;0:33.598;0:38.677;0:32.111;259.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;83;1:44.187;0;;33.661;0;38.371;0;32.155;0;187.0;2:27:35.325;18:27:34.071;0:33.661;0:38.371;0:32.155;256.8;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;84;1:44.320;0;;33.604;0;38.738;0;31.978;0;186.8;2:29:19.645;18:29:18.391;0:33.604;0:38.738;0:31.978;256.8;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;85;1:43.983;0;;33.502;0;38.272;0;32.209;0;187.4;2:31:03.628;18:31:02.374;0:33.502;0:38.272;0:32.209;258.6;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;86;1:44.520;0;;33.555;0;38.545;0;32.420;0;186.4;2:32:48.148;18:32:46.894;0:33.555;0:38.545;0:32.420;263.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;87;1:45.359;0;;34.187;0;38.972;0;32.200;0;184.9;2:34:33.507;18:34:32.253;0:34.187;0:38.972;0:32.200;258.6;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;88;1:44.602;0;;33.913;0;38.600;0;32.089;0;186.3;2:36:18.109;18:36:16.855;0:33.913;0:38.600;0:32.089;261.7;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;89;1:48.783;0;B;33.660;0;38.144;0;36.979;0;179.1;2:38:06.892;18:38:05.638;0:33.660;0:38.144;0:36.979;263.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;0;90;2:57.059;0;;1:47.389;0;38.010;0;31.660;0;110.0;2:41:03.951;18:41:02.697;1:47.389;0:38.010;0:31.660;184.3;Timo BERNHARD;0:01:17.509;LMP1;H;Porsche Team;Porsche;
1;0;91;1:44.130;0;;33.250;0;38.289;0;32.591;0;187.1;2:42:48.081;18:42:46.827;0:33.250;0:38.289;0:32.591;258.6;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;92;1:43.565;0;;33.371;0;38.283;0;31.911;0;188.1;2:44:31.646;18:44:30.392;0:33.371;0:38.283;0:31.911;256.2;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;93;1:44.316;0;;33.646;0;38.597;0;32.073;0;186.8;2:46:15.962;18:46:14.708;0:33.646;0:38.597;0:32.073;255.6;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;94;1:44.896;0;;33.631;0;38.844;0;32.421;0;185.7;2:48:00.858;18:47:59.604;0:33.631;0:38.844;0:32.421;258.0;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;95;1:44.776;0;;33.872;0;38.798;0;32.106;0;186.0;2:49:45.634;18:49:44.380;0:33.872;0:38.798;0:32.106;257.4;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;96;1:44.379;0;;33.928;0;38.164;0;32.287;0;186.7;2:51:30.013;18:51:28.759;0:33.928;0:38.164;0:32.287;261.1;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;97;1:44.462;0;;33.725;0;38.132;0;32.605;0;186.5;2:53:14.475;18:53:13.221;0:33.725;0:38.132;0:32.605;259.2;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;98;1:44.882;0;;34.103;0;38.666;0;32.113;0;185.8;2:54:59.357;18:54:58.103;0:34.103;0:38.666;0:32.113;261.1;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;99;1:43.397;0;;33.314;0;37.954;0;32.129;0;188.4;2:56:42.754;18:56:41.500;0:33.314;0:37.954;0:32.129;255.6;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;100;1:43.927;0;;33.400;0;38.146;0;32.381;0;187.5;2:58:26.681;18:58:25.427;0:33.400;0:38.146;0:32.381;256.8;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;101;1:45.010;0;;33.418;0;38.373;0;33.219;0;185.5;3:00:11.691;19:00:10.437;0:33.418;0:38.373;0:33.219;257.4;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;102;1:43.712;0;;33.645;0;38.043;0;32.024;0;187.9;3:01:55.403;19:01:54.149;0:33.645;0:38.043;0:32.024;256.2;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;103;2:37.356;0;;33.978;0;42.013;0;1:21.365;0;123.8;3:04:32.759;19:04:31.505;0:33.978;0:42.013;1:21.365;257.4;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;104;4:02.707;0;;1:21.568;0;1:19.526;0;1:21.613;0;80.3;3:08:35.466;19:08:34.212;1:21.568;1:19.526;1:21.613;79.7;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;105;2:05.654;0;;54.242;0;38.481;0;32.931;0;155.1;3:10:41.120;19:10:39.866;0:54.242;0:38.481;0:32.931;79.7;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;106;1:43.660;0;;33.779;0;37.894;0;31.987;0;188.0;3:12:24.780;19:12:23.526;0:33.779;0:37.894;0:31.987;254.4;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;107;1:43.874;0;;33.486;0;38.073;0;32.315;0;187.6;3:14:08.654;19:14:07.400;0:33.486;0:38.073;0:32.315;255.6;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;108;1:43.187;0;;33.402;0;37.922;0;31.863;0;188.8;3:15:51.841;19:15:50.587;0:33.402;0:37.922;0:31.863;255.0;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;109;1:43.800;0;;33.422;0;38.054;0;32.324;0;187.7;3:17:35.641;19:17:34.387;0:33.422;0:38.054;0:32.324;256.8;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;110;1:44.913;0;;33.996;0;38.927;0;31.990;0;185.7;3:19:20.554;19:19:19.300;0:33.996;0:38.927;0:31.990;258.0;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;111;1:43.696;0;;33.743;0;37.990;0;31.963;0;187.9;3:21:04.250;19:21:02.996;0:33.743;0:37.990;0:31.963;255.0;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;112;1:44.224;0;;33.438;0;38.346;0;32.440;0;186.9;3:22:48.474;19:22:47.220;0:33.438;0:38.346;0:32.440;256.8;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;113;1:45.035;0;;33.627;0;38.133;0;33.275;0;185.5;3:24:33.509;19:24:32.255;0:33.627;0:38.133;0:33.275;259.2;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;114;1:43.916;0;;33.573;0;38.253;0;32.090;0;187.5;3:26:17.425;19:26:16.171;0:33.573;0:38.253;0:32.090;256.8;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;115;1:44.994;0;;33.502;0;39.246;0;32.246;0;185.6;3:28:02.419;19:28:01.165;0:33.502;0:39.246;0:32.246;256.8;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;116;1:43.997;0;;33.557;0;38.135;0;32.305;0;187.3;3:29:46.416;19:29:45.162;0:33.557;0:38.135;0:32.305;255.6;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;117;1:46.728;0;;34.164;0;40.155;0;32.409;0;182.6;3:31:33.144;19:31:31.890;0:34.164;0:40.155;0:32.409;257.4;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;118;1:43.960;0;;33.683;0;38.173;0;32.104;0;187.4;3:33:17.104;19:33:15.850;0:33.683;0:38.173;0:32.104;254.4;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;119;1:44.338;0;;33.519;0;38.337;0;32.482;0;186.7;3:35:01.442;19:35:00.188;0:33.519;0:38.337;0:32.482;256.8;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;0;120;1:48.214;0;B;33.421;0;38.083;0;36.710;0;180.0;3:36:49.656;19:36:48.402;0:33.421;0:38.083;0:36.710;258.6;Timo BERNHARD;;LMP1;H;Porsche Team;Porsche;
1;2;121;2:59.402;0;;1:48.588;0;38.565;0;32.249;0;108.6;3:39:49.058;19:39:47.804;1:48.588;0:38.565;0:32.249;184.0;Brendon HARTLEY;0:01:18.762;LMP1;H;Porsche Team;Porsche;
1;2;122;1:43.472;0;;33.288;0;38.275;0;31.909;0;188.3;3:41:32.530;19:41:31.276;0:33.288;0:38.275;0:31.909;257.4;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;123;1:44.772;0;;33.707;0;38.919;0;32.146;0;186.0;3:43:17.302;19:43:16.048;0:33.707;0:38.919;0:32.146;256.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;124;1:44.203;0;;33.290;0;38.469;0;32.444;0;187.0;3:45:01.505;19:45:00.251;0:33.290;0:38.469;0:32.444;259.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;125;1:43.761;0;;33.373;0;38.380;0;32.008;0;187.8;3:46:45.266;19:46:44.012;0:33.373;0:38.380;0:32.008;275.0;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;126;1:43.502;0;;33.403;0;38.099;0;32.000;0;188.2;3:48:28.768;19:48:27.514;0:33.403;0:38.099;0:32.000;253.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;127;1:44.035;0;;33.346;0;38.378;0;32.311;0;187.3;3:50:12.803;19:50:11.549;0:33.346;0:38.378;0:32.311;256.2;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;128;1:43.606;0;;33.710;0;37.859;0;32.037;0;188.1;3:51:56.409;19:51:55.155;0:33.710;0:37.859;0:32.037;265.6;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;129;1:44.270;0;;33.772;0;38.579;0;31.919;0;186.9;3:53:40.679;19:53:39.425;0:33.772;0:38.579;0:31.919;256.8;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
1;2;130;1:44.142;0;;33.531;0;38.481;0;32.130;0;187.1;3:55:24.821;19:55:23.567;0:33.531;0:38.481;0:32.130;263.6;Brendon HARTLEY;;LMP1;H;Porsche Team;Porsche;
